Fetching NSE equity list...
Found 2381 symbols. Checking market caps...
Processed 50/2381 symbols, 26 kept so far
Processed 100/2381 symbols, 50 kept so far
Processed 150/2381 symbols, 78 kept so far
Processed 200/2381 symbols, 106 kept so far
Processed 250/2381 symbols, 139 kept so far
Processed 300/2381 symbols, 170 kept so far
Processed 350/2381 symbols, 200 kept so far
Processed 400/2381 symbols, 232 kept so far
Processed 450/2381 symbols, 264 kept so far
Processed 500/2381 symbols, 292 kept so far
Processed 550/2381 symbols, 315 kept so far
Processed 600/2381 symbols, 342 kept so far
Processed 650/2381 symbols, 375 kept so far
Processed 700/2381 symbols, 405 kept so far
Processed 750/2381 symbols, 436 kept so far
Processed 800/2381 symbols, 469 kept so far
Processed 850/2381 symbols, 500 kept so far
Processed 900/2381 symbols, 533 kept so far
Processed 950/2381 symbols, 572 kept so far
Processed 1000/2381 symbols, 605 kept so far
Processed 1050/2381 symbols, 643 kept so far
Processed 1100/2381 symbols, 683 kept so far
Processed 1150/2381 symbols, 708 kept so far
Processed 1200/2381 symbols, 732 kept so far
Processed 1250/2381 symbols, 762 kept so far
Processed 1300/2381 symbols, 789 kept so far
Processed 1350/2381 symbols, 813 kept so far
Processed 1400/2381 symbols, 839 kept so far
Processed 1450/2381 symbols, 865 kept so far
Processed 1500/2381 symbols, 895 kept so far
Processed 1550/2381 symbols, 918 kept so far
Processed 1600/2381 symbols, 952 kept so far
Processed 1650/2381 symbols, 982 kept so far
Processed 1700/2381 symbols, 1008 kept so far
Processed 1750/2381 symbols, 1039 kept so far
Processed 1800/2381 symbols, 1064 kept so far
Processed 1850/2381 symbols, 1095 kept so far
Processed 1900/2381 symbols, 1120 kept so far
Processed 1950/2381 symbols, 1143 kept so far
Processed 2000/2381 symbols, 1174 kept so far
Processed 2050/2381 symbols, 1206 kept so far
Processed 2100/2381 symbols, 1238 kept so far
Processed 2150/2381 symbols, 1269 kept so far
Processed 2200/2381 symbols, 1295 kept so far
Processed 2250/2381 symbols, 1323 kept so far
Processed 2300/2381 symbols, 1348 kept so far
Processed 2350/2381 symbols, 1383 kept so far
Saved 1399 stocks to C:\00 - My AI Projects\Stock Trading WebApp Practice\data_pipeline\stock_universe.json
